turn,word,meaning
1406,a,하나의
1407,abandon,버리다
1408,able,할 수 있는
1409,aboard,배로
1410,abort,유산하다
1411,about,#NAME?
1412,above,#NAME?
1413,abroad,외국으로
1414,absent,부재의
1415,absolute,절대의
1416,absorb,흡수하다
1417,abstract,추상적인
1418,absurd,불합리한
1419,abundant,풍부한
1420,abuse,남용
1421,academy,학술원
1422,accelerate,가속하다 속도가 가해지다
1423,accent,액센트
1424,accept,받아들이다
1425,access,접근
1426,accident,뜻밖의 사건
1427,accommodate,수용하다
1428,accompany,동반하다
1429,accomplish,이루다
1430,accord,일치하다
1431,account,설명하다 계산
1432,accumulate,축적하다
1433,accurate,정확한
1434,accuse,고발하다
1435,achieve,성취하다
1436,acid,산 신
1437,acknowledge,인정하다
1438,acquaint,알리다
1439,acquire,얻다
1440,acquisition,획득
1441,across,가로질러
1442,act,vi행동하다
1443,activate,활동적으로 하다
1444,actual,현실의
1445,acute,날카로운
1446,adapt,적용시키다
1447,add,추가하다
1448,addict,열중하게 하다
1449,address,말을 걸다
1450,adequate,충분한
1451,adjust,맞추다
1452,administer,관리하다
1453,admire,감복하다
1454,admission,입장
1455,admit,받아들이다
1456,adolescent,청년기의
1457,adopt,채용하다
1458,adult,성인
1459,advance,나아가다
1460,advantage,유리한 입장
1461,adventure,모험 모험하다
1462,adverse,거꾸로의
1463,advertize,광고하다
1464,advise,충고하다
1465,advocate,변호사
1466,aesthetic,미적인
1467,affair,일
1468,affect,영향을 주다
1469,affection,애정
1470,affiliate,회원으로 가입시키다
1471,afford,여유가 있다
1472,afraid,두려워하여
1473,after,후에
1474,afternoon,오후
1475,again,다시
1476,against,…에 반대하여
1477,age,연령
1478,agency,기능
1479,agenda,안건
1480,agent,대리인
1481,aggressive,침략적인
1482,ago,이전에
1483,agree,동의하다
1484,agriculture,농업
1485,ahead,전방에
1486,aid,도와 주다
1487,aim,겨누다
1488,air,공기
1489,airplane,비행기
1490,aircraft,항공기
1491,airline,정기항공
1492,airport,공항
1493,aisle,측면복도
1494,alert,빈틈없는
1495,alien,외국의
1496,alike,비슷한
1497,alive,살아있는
1498,all,모든
1499,allocate,할당하다
1500,allow,허락하다
1501,ally,동맹하다
1502,almost,거의
1503,alone,다만 홀로(혼자서)
1504,along,#NAME?
1506,aloud,큰 소리로
1507,already,이미
1508,alright,더할나위없이
1510,alter,바꾸다
1511,alternative,어느 한쪽의 양자택일
1512,although,비록 -일지라도
1513,altogether,전혀
1514,always,늘
1515,A.M.,오전
1516,amaze,깜짝 놀라게 하다
1517,ambassador,대사
1518,ambition,야심
1519,among,#NAME?
1520,amount,(금액이)-이 되다
1521,amplify,확대하다
1522,amuse,재미나게 하다
1523,analyze,분해하다
1524,anchor,닻
1525,ancient,옛날의
1526,and,및
1527,angel,천사
1528,anger,성
1529,angle,각
1530,animal,동물
1531,anniversary,기념일 예년의
1532,announce,알리다
1533,annoy,귀찮게하다
1534,annual,일년의
1535,another,또 하나
1536,answer,대답
1537,ant,개미
1538,anticipate,예기하다
1539,anxiety,근심
1540,anxious,걱정되는
1541,any,어떤
1542,apart,떨어져서
1543,apology,사과
1544,apparent,명백한
1545,appeal,간청하다
1546,appear,나타나다
1547,apple,사과
1548,applicant,지원자
1549,apply,(물건을)대다
1550,appoint,지정하다
1551,appreciate,감상하다
1552,approach,다가가다
1553,appropriate,적당한
1554,approve,시인하다
1555,approximate,어림셈의
1556,architect,건축가
1557,architecture,건축
1558,archive,기록보관소
1559,area,면적
1560,argue,논하다
1561,arise,생기다
1562,arm,팔
1563,army,육군
1564,around,사방에
1565,arrange,가지런히 하다
1566,arrest,체포하다
1567,arrive,도착하다
1568,arrow,화살
1569,art,예술
1570,article,물품
1571,artificial,인공의
1573,ash,회
1574,aside,곁에
1575,ask,묻다
1576,asleep,잠들은
1577,aspect,관점
1578,aspire,열망하다
1579,assault,습격
1580,assemble,모으다
1581,assert,단언하다
1582,assess,(세금 등을)사정하다
1583,asset,자산
1584,assign,할당하다
1585,assist,돕다
1586,associate,연상하다
1587,assume,취하다
1588,assure,보증하다
1589,astonish,놀라게 하다
1591,athlete,운동가
1592,atmosphere,대기
1593,atom,원자
1594,attach,붙이다
1595,attack,공격하다
1596,attain,이르다
1597,attempt,시도하다
1598,attend,출석하다
1599,attention,주의
1600,attitude,태도
1601,attorney,변호사
1602,attract,끌어 당기다
1603,attribute,속성
1604,auction,경매
1605,audience,청중
1606,aunt,아주머니
1607,authentic,진짜의
1608,author,저자
1609,autobiography,자서전
1610,automatic,자동의
1611,automobile,자동차 자동차의
1612,available,쓸모있는
1613,avenue,가로수길
1614,average,평균
1615,avoid,피하다
1616,await,기다리다
1617,awake,깨우다
1618,award,상
1619,aware,알고 있는
1620,away,떨어져서
1621,awesome,무서운
1622,awful,두려운
1623,awkward,어색한
1624,baby,"갓난아이, 막내   관심사, 골치아픈 일,"
1625,back,등
1626,background,배경
1627,bad,나쁜
1628,bake,굽다
1629,balance,균형
1630,ball,공
1631,balloon,기구
1632,ban,금지
1633,band,그룹
1634,bang,강타
1635,bank,둑
1636,bankrupt,파산자
1637,bar,막대기
1638,bare,벌거벗은
1639,bargain,매매
1640,bark,짖다
1641,barn,헛간
1642,barrier,장벽
1643,base,기초
1644,baseball,야구
1645,basic,기본의
1646,basis,기초
1647,basket,바구니
1648,basketball,농구
1649,bat,배트
1650,bath,목욕
1651,bathroom,욕실
1652,battery,전지
1653,battle,전투
1654,bay,만
1656,beach,해안
1657,beam,광선
1658,bean,콩
1659,bear,나르다
1660,beard,턱수염
1661,beast,짐승
1662,beat,치다
1663,beauty,아름다움
1664,because,왜냐하면
1666,bed,침대
1667,bedroom,침실 성적인
1668,bee,꿀벌
1669,beef,쇠고기
1670,beer,맥주
1671,before,앞에
1672,beg,청하다
1673,begin,시작하다
1674,behalf,위함
1675,behave,행동하다
1676,behavior,행동
1677,behind,뒤에
1678,believe,믿다
1679,bell,종
1680,belong,속하다
1681,below,아래에
1682,bend,구부리다
1684,benefit,이익
1685,berry,액과
1687,bet,걸다
1688,betray,배반하다
1690,beyond,저편에
1691,bias,치우침
1692,bible,"성서, 성경"
1693,bicycle,자전거 자전거를 타다
1694,big,큰
1695,bill,계산서
1696,billion,10억
1697,bin,궤
1698,bind,매다
1699,biography,전기
1700,biology,생물학
1701,bird,새
1702,birth,출생
1703,birthday,생일
1704,bishop,주교
1705,bit,bite의 과거(분사) 작은 조각
1706,bite,물다
1707,bitter,쓴
1708,black,검은
